Generations,Time,Distance,Route
10000,45,15580.645104893083,https://autarc.github.io/traveling-salesman-problem/#44-100-39-96-55-25-43-7-57-6-56-46-50-54-33-4-85-82-47-53-99-64-69-8-60-71-68-48-91-98-95-59-58-89-2-23-41-22-5-81-80-83-51-90-67-13-49-21-75-32-78-20-74-92-27-10-79-94-52-45-31-88-84-35-40-24-42-34-30-65-97-63-86-15-1-18-62-87-14-12-9-26-37-28-77-93-76-29-61-11-36-3-17-70-72-38-73-19-66-16
10000,44,15923.984945638385,https://autarc.github.io/traveling-salesman-problem/#78-20-74-17-10-33-32-4-3-79-6-77-37-46-50-73-92-95-66-76-93-19-70-72-38-54-94-45-44-88-84-31-23-2-89-58-35-29-7-40-41-22-81-80-48-30-61-11-52-47-91-51-83-68-71-87-14-85-15-60-1-62-18-8-55-96-39-100-99-26-9-12-82-75-21-86-97-64-36-57-16-98-59-28-56-27-53-34-24-25-43-42-5-13-67-69-65-90-63-49
10000,47,16497.35768540414,https://autarc.github.io/traveling-salesman-problem/#21-86-69-81-7-40-96-39-34-68-71-1-18-62-87-33-27-37-28-59-93-10-49-75-82-4-32-73-50-46-19-56-6-53-99-79-54-38-70-72-17-9-14-12-85-63-90-51-83-65-36-57-98-95-77-92-20-74-26-78-3-42-24-41-22-5-61-16-23-89-2-31-8-60-15-97-67-13-91-48-30-80-47-94-76-58-66-88-84-45-52-43-25-55-29-35-44-100-11-64
10000,45,15985.926020525865,https://autarc.github.io/traveling-salesman-problem/#13-47-88-84-89-2-23-11-80-65-48-83-21-54-38-70-72-17-78-91-81-34-7-42-40-24-43-25-55-29-35-44-53-79-10-20-74-26-32-85-90-68-71-18-62-63-97-15-8-51-30-41-39-96-100-52-45-16-66-98-6-27-46-50-56-92-4-14-12-9-73-19-37-36-61-22-5-57-95-59-77-28-93-58-31-76-94-99-33-3-64-69-60-1-87-82-75-49-86-67
10000,45,16360.942397119028,https://autarc.github.io/traveling-salesman-problem/#28-14-87-71-68-48-30-22-41-42-24-43-25-40-96-2-89-57-64-90-51-83-69-67-97-63-15-60-8-1-18-62-27-56-47-36-52-11-81-80-65-21-12-70-72-85-82-86-13-91-5-61-7-34-53-50-46-73-92-78-74-26-9-20-79-6-95-59-58-23-35-29-55-39-100-44-45-16-99-32-4-10-33-3-75-49-94-98-66-31-84-88-76-93-17-38-54-19-37-77
10000,44,14262.188006296692,https://autarc.github.io/traveling-salesman-problem/#38-73-50-46-56-27-10-32-4-75-85-12-82-14-87-86-97-63-15-83-48-30-41-24-42-25-43-11-64-13-36-52-45-16-95-59-37-28-92-74-26-9-62-18-60-1-71-68-8-69-53-77-93-76-58-89-2-23-19-54-70-72-98-66-88-84-44-100-22-5-80-65-51-90-91-81-61-34-7-40-55-39-96-29-35-31-94-57-47-99-67-49-21-3-79-6-33-78-20-17
10000,45,15452.882095263436,https://autarc.github.io/traveling-salesman-problem/#42-24-55-34-8-60-1-62-18-87-85-14-12-33-10-35-29-44-98-28-37-19-54-56-77-58-31-94-53-46-73-50-92-27-99-57-36-91-52-23-89-2-88-84-16-47-75-49-22-41-61-11-5-81-51-83-68-48-30-80-65-64-6-59-95-79-3-13-69-90-71-15-82-21-67-97-63-86-4-32-9-26-74-78-20-38-70-72-17-93-76-66-45-100-96-39-7-40-25-43
100000,480,15576.166903298272,https://autarc.github.io/traveling-salesman-problem/#98-27-92-74-20-78-3-13-90-51-69-15-14-85-82-75-21-49-86-67-7-42-43-25-24-36-79-56-46-50-12-87-62-18-71-68-83-61-39-96-55-40-30-48-65-80-22-41-34-23-89-2-35-29-8-60-1-63-97-99-31-84-88-58-93-59-76-66-16-11-5-81-91-64-10-17-72-70-38-54-19-73-33-4-32-9-26-37-28-77-95-94-6-53-47-57-52-100-44-45
100000,436,12002.05890701232,https://autarc.github.io/traveling-salesman-problem/#52-16-45-44-29-35-23-2-89-84-88-31-66-58-76-59-95-77-10-33-20-74-27-92-17-72-9-85-62-1-60-8-15-67-4-32-78-50-46-73-38-70-54-19-93-98-94-53-99-79-3-36-64-91-68-71-18-87-14-12-26-56-37-28-6-47-57-100-39-96-55-40-7-41-22-81-13-49-75-82-21-86-97-63-69-90-51-83-65-80-48-30-24-25-43-42-34-5-61-11
100000,433,13115.022635625211,https://autarc.github.io/traveling-salesman-problem/#4-32-9-26-74-73-54-38-70-72-17-87-18-62-86-21-49-99-53-94-66-88-84-89-2-23-52-11-61-36-64-13-67-97-63-15-1-60-8-71-48-30-80-6-95-59-76-58-31-35-29-44-45-79-10-33-20-78-3-47-57-34-41-24-25-43-42-7-40-55-96-39-100-16-98-77-93-28-37-19-56-46-50-92-27-90-51-68-83-65-22-5-81-91-69-14-12-85-82-75
